Linux 6.8.0-44-generic (ricky-Latitude-7420) 	09/12/2024 	_x86_64_	(8 CPU)

06:40:36 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:26:00 PM  1000    760815    1.00    0.00    0.00    0.00    1.00     0  initProductionL
07:26:01 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:26:02 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     7  initProductionL
07:26:03 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:26:04 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     6  initProductionL
07:26:05 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:26:06 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     1  initProductionL
07:26:07 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     1  initProductionL
07:26:08 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     1  initProductionL
07:26:09 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     3  initProductionL
07:26:10 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:26:11 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:26:12 PM  1000    760815    1.00    0.00    0.00    0.00    1.00     2  initProductionL
07:26:13 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     0  initProductionL
07:26:14 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:26:15 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     0  initProductionL
07:26:16 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     4  initProductionL
07:26:17 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     7  initProductionL
07:26:18 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     6  initProductionL
07:26:19 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     2  initProductionL
07:26:20 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:26:21 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:26:22 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     2  initProductionL
07:26:23 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:26:24 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:26:25 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     6  initProductionL
07:26:26 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:26:27 PM  1000    760815    1.00    0.00    0.00    0.00    1.00     5  initProductionL
07:26:28 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:26:29 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     7  initProductionL
07:26:30 PM  1000    760815    0.00    0.99    0.00    0.00    0.99     5  initProductionL
07:26:31 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     3  initProductionL
07:26:32 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:26:33 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     6  initProductionL
07:26:34 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:26:35 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:26:36 PM  1000    760815    1.00    0.00    0.00    0.00    1.00     5  initProductionL
07:26:37 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     5  initProductionL
07:26:38 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     5  initProductionL
07:26:39 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     5  initProductionL
07:26:40 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     5  initProductionL
07:26:41 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:26:42 PM  1000    760815    1.00    0.00    0.00    0.00    1.00     2  initProductionL
07:26:43 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:26:44 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     7  initProductionL
07:26:45 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:26:46 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     2  initProductionL
07:26:47 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     5  initProductionL
07:26:48 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     1  initProductionL
07:26:49 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:26:50 PM  1000    760815    0.00    1.00    0.00    1.00    1.00     6  initProductionL
07:26:51 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:26:52 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     5  initProductionL
07:26:53 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     0  initProductionL
07:26:54 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     7  initProductionL
07:26:55 PM  1000    760815    1.00    2.00    0.00    0.00    3.00     4  initProductionL
07:26:56 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:26:57 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:26:58 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     2  initProductionL
07:26:59 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:27:00 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:27:01 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:27:02 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     0  initProductionL
07:27:03 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:27:04 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     4  initProductionL
07:27:05 PM  1000    760815    0.00    1.00    0.00    1.00    1.00     3  initProductionL
07:27:06 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:27:07 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     4  initProductionL
07:27:08 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:27:09 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:27:10 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     3  initProductionL
07:27:11 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:27:12 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     3  initProductionL
07:27:13 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     0  initProductionL
07:27:14 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:27:15 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:27:16 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     4  initProductionL
07:27:17 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     6  initProductionL
07:27:18 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:27:19 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:27:20 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     5  initProductionL
07:27:21 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     1  initProductionL
07:27:22 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:27:23 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:27:24 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:27:25 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     2  initProductionL
07:27:26 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:27:27 PM  1000    760815    0.00    1.00    0.00    1.00    1.00     3  initProductionL
07:27:28 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     0  initProductionL
07:27:29 PM  1000    760815    1.00    2.00    0.00    0.00    3.00     5  initProductionL
07:27:30 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     3  initProductionL
07:27:31 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     6  initProductionL
07:27:32 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     5  initProductionL
07:27:33 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:27:34 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:27:35 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     2  initProductionL
07:27:36 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:27:37 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:27:38 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     3  initProductionL
07:27:39 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:27:40 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:27:41 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:27:42 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     3  initProductionL
07:27:43 PM  1000    760815    0.00    1.00    0.00    1.00    1.00     5  initProductionL
07:27:44 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:27:45 PM  1000    760815    1.00    2.00    0.00    0.00    3.00     0  initProductionL
07:27:46 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:27:47 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:27:48 PM  1000    760815    1.00    0.00    0.00    0.00    1.00     2  initProductionL
07:27:49 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     3  initProductionL
07:27:50 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:27:51 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     6  initProductionL
07:27:52 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:27:53 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:27:54 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     5  initProductionL
07:27:55 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:27:56 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:27:57 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     1  initProductionL
07:27:58 PM  1000    760815    0.00    1.00    0.00    1.00    1.00     4  initProductionL
07:27:59 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     4  initProductionL
07:28:00 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     5  initProductionL
07:28:01 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:28:02 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:28:03 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     0  initProductionL
07:28:04 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:28:05 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:28:06 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     0  initProductionL
07:28:07 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:28:08 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     0  initProductionL
07:28:09 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     2  initProductionL
07:28:10 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     7  initProductionL
07:28:11 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:28:12 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:28:13 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     0  initProductionL
07:28:14 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:28:15 PM  1000    760815    0.00    1.00    0.00    1.00    1.00     1  initProductionL
07:28:16 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     0  initProductionL
07:28:17 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     5  initProductionL
07:28:18 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     5  initProductionL
07:28:19 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:28:20 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     0  initProductionL
07:28:21 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:28:22 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     6  initProductionL
07:28:23 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     1  initProductionL
07:28:24 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     1  initProductionL
07:28:25 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     1  initProductionL
07:28:26 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:28:27 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:28:28 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     4  initProductionL
07:28:29 PM  1000    760815    0.00    1.00    0.00    1.00    1.00     6  initProductionL
07:28:30 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:28:31 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     5  initProductionL
07:28:32 PM  1000    760815    1.00    2.00    0.00    0.00    3.00     5  initProductionL
07:28:33 PM  1000    760815    0.00    0.00    0.00    0.00    0.00     3  initProductionL
07:28:34 PM  1000    760815    0.00    2.00    0.00    0.00    2.00     7  initProductionL
07:28:35 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:28:36 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     4  initProductionL
07:28:37 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:28:38 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:28:39 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     7  initProductionL
07:28:40 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     2  initProductionL
07:28:41 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     2  initProductionL
07:28:42 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:28:43 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     6  initProductionL
07:28:44 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:28:45 PM  1000    760815    1.00    1.00    0.00    1.00    2.00     3  initProductionL
07:28:46 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     4  initProductionL
07:28:47 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:28:48 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     3  initProductionL
07:28:49 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     5  initProductionL
07:28:50 PM  1000    760815    0.00    1.00    0.00    0.00    1.00     7  initProductionL
07:28:51 PM  1000    760815    1.00    1.00    0.00    0.00    2.00     5  initProductionL
